description,query
"Finds log events for tenant M0001 that are not associated with a long list of common legitimate processes and scripts (such as VMware services, Windows system tools, PowerShell commands, and scheduled tasks), effectively flagging unusual or potentially malicious activity.","tenantname:M0001 AND (NOT trgattval:""test \\-x \\/usr\\/sbin\\/vpxd_periodic &amp;&amp; \\/usr\\/sbin\\/vpxd_periodic &gt;\\/dev\\/null 2&gt;&amp;1"") AND (NOT trgattval:svchost.exe) AND (NOT trgattval:""bin\\/hostd\\-probe.sh"") AND (NOT trgattval:"". \\/etc\\/profile.d\\/VMware\\-visl\\-integration.sh; \\/usr\\/lib\\/applmgmt\\/backup_restore\\/scripts\\/SchedulerCron.py &gt;&gt;\\/var\\/log\\/vmware\\/applmgmt\\/backupSchedulerCron.log 2&gt;&amp;1"") AND (NOT trgattval:&lt;Binary&gt;) AND (NOT trgattval:""test \\-x \\/usr\\/sbin\\/vpxd_periodic &amp;&amp; \\/usr\\/sbin\\/vpxd_periodic &gt;\\/dev\\/null 2&gt;&amp;1"") AND (NOT trgattval:taskhostw.exe) AND (NOT trgattval:""C\\:\\\\Windows\\\\System32\\\\WindowsPowerShell\\\\v1.0\\\\powershell.exe \\-Version 5.1 \\-s \\-NoLogo \\-NoProfile"") AND (NOT trgattval:"". \\/etc\\/profile.d\\/VMware\\-visl\\-integration.sh; \\/usr\\/lib\\/applmgmt\\/backup_restore\\/scripts\\/SchedulerCron.py &gt;&gt;\\/var\\/log\\/vmware\\/applmgmt\\/backupSchedulerCron.log 2&gt;&amp;1"") AND (NOT trgattval:&lt;Binary&gt;) AND (NOT trgattval:""test \\-x \\/usr\\/sbin\\/vpxd_periodic &amp;&amp; \\/usr\\/sbin\\/vpxd_periodic &gt;\\/dev\\/null 2&gt;&amp;1"") AND (NOT trgattval:"". \\/etc\\/profile.d\\/VMware\\-visl\\-integration.sh; \\/usr\\/lib\\/applmgmt\\/backup_restore\\/scripts\\/SchedulerCron.py &gt;&gt;\\/var\\/log\\/vmware\\/applmgmt\\/backupSchedulerCron.log 2&gt;&amp;1"") AND (NOT trgattval:""\\-k NetworkService \\-p \\-s DoSvc"") AND (NOT trgattval:""\\-k LocalSystemNetworkRestricted \\-s WPDBusEnum"") AND (NOT trgattval:&lt;Binary&gt;) AND (NOT trgattval:""test \\-x \\/usr\\/sbin\\/vpxd_periodic &amp;&amp; \\/usr\\/sbin\\/vpxd_periodic &gt;\\/dev\\/null 2&gt;&amp;1"") AND (NOT trgattval:""taskhostw.exe SYSTEM"") AND (NOT trgattval:"". \\/etc\\/profile.d\\/VMware\\-visl\\-integration.sh; \\/usr\\/lib\\/applmgmt\\/backup_restore\\/scripts\\/SchedulerCron.py &gt;&gt;\\/var\\/log\\/vmware\\/applmgmt\\/backupSchedulerCron.log 2&gt;&amp;1"") AND (NOT trgattval:""\\-k NetSvcs \\-p \\-s NcaSvc"") AND (NOT trgattval:&lt;Binary&gt;) AND (NOT trgattval:""test \\-x \\/usr\\/sbin\\/vpxd_periodic &amp;&amp; \\/usr\\/sbin\\/vpxd_periodic &gt;\\/dev\\/null 2&gt;&amp;1"") AND (NOT trgattval:taskhost.exe) AND (NOT trgattval:cmd.exe) AND (NOT trgattval:"". \\/etc\\/profile.d\\/VMware\\-visl\\-integration.sh; \\/usr\\/lib\\/applmgmt\\/backup_restore\\/scripts\\/SchedulerCron.py &gt;&gt;\\/var\\/log\\/vmware\\/applmgmt\\/backupSchedulerCron.log 2&gt;&amp;1"") AND (NOT trgattval:&lt;Binary&gt;) AND (NOT trgattval:""test \\-x \\/usr\\/sbin\\/vpxd_periodic &amp;&amp; \\/usr\\/sbin\\/vpxd_periodic &gt;\\/dev\\/null 2&gt;&amp;1"") AND (NOT trgattval:taskhostex.exe) AND (NOT trgattval:UsoClient.exe) AND (NOT trgattval:"". \\/etc\\/profile.d\\/VMware\\-visl\\-integration.sh; \\/usr\\/lib\\/applmgmt\\/backup_restore\\/scripts\\/SchedulerCron.py &gt;&gt;\\/var\\/log\\/vmware\\/applmgmt\\/backupSchedulerCron.log 2&gt;&amp;1"") AND (NOT trgattval:&lt;Binary&gt;) AND (NOT trgattval:""test \\-x \\/usr\\/sbin\\/vpxd_periodic &amp;&amp; \\/usr\\/sbin\\/vpxd_periodic &gt;\\/dev\\/null 2&gt;&amp;1"") AND (NOT trgattval:ReportPolicies) AND (NOT trgattval:"". \\/etc\\/profile.d\\/VMware\\-visl\\-integration.sh; \\/usr\\/lib\\/applmgmt\\/backup_restore\\/scripts\\/SchedulerCron.py &gt;&gt;\\/var\\/log\\/vmware\\/applmgmt\\/backupSchedulerCron.log 2&gt;&amp;1"") AND (NOT trgattval:""\\-k netsvcs \\-p \\-s wuauserv"") AND (NOT trgattval:&lt;Binary&gt;)e AND (NOT trgattval:""test \\-x \\/usr\\/sbin\\/vpxd_periodic &amp;&amp; \\/usr\\/sbin\\/vpxd_periodic &gt;\\/dev\\/null 2&gt;&amp;1"") AND (NOT trgattval:""bin\\/crx\\-cli"") AND (NOT trgattval:FALSE) AND (NOT trgattval:"". \\/etc\\/profile.d\\/VMware\\-visl\\-integration.sh; \\/usr\\/lib\\/applmgmt\\/backup_restore\\/scripts\\/SchedulerCron.py &gt;&gt;\\/var\\/log\\/vmware\\/applmgmt\\/backupSchedulerCron.log 2&gt;&amp;1"") AND (NOT trgattval:&lt;Binary&gt;) AND (NOT trgattval:""e\\-MicrosoftUpdateService; RefreshService; SearchUpdates;  echo \\(New\\-Object \\-Type PSObject \\-Property @\\{A1_Key='EOF'\\}\\);  \\} catch \\{  try \\{   $target_object = if \\($_.TargetObject \\-eq $null\\) \\{ '' \\} else \\{ $_.TargetObject.ToString\\(\\) \\+ ' \\: ' \\}   $Host.UI.WriteErrorLine\\($target_object \\+ $_.Exception.Message \\+ ' \\(line\\:' \\+ $_.InvocationInfo.ScriptLineNumber \\+ ' char\\:' \\+ $_.InvocationInfo.OffsetInLine \\+ '\\)' \\+ ""`nCategoryInfo\\: "" \\+ $_.CategoryInfo \\+ ""`nFullyQualifiedErrorId\\: "" \\+ $_.FullyQualifiedErrorId \\+ ""`nScript Stack Trace\\: `n"" \\+ $_.ScriptStackTrace\\);   exit 888;  \\} catch \\{ exit 999; \\} \\}  \\}.Invoke\\(\\) | ConvertTo\\-Csv \\-NoTypeInformation \\-Delimiter '\,'; exit 0;   "") AND (NOT trgattval:""e \\{            $__cmdletization_methodParameter = \\[Microsoft.PowerShell.Cmdletization.MethodParameter\\]@\\{Name = 'UseOpportunisticLocking'; ParameterType = 'System.Boolean'; Bindings = 'In'; Value = $__cmdletization_defaultValue; IsValuePresent = $__cmdletization_defaultValueIsPresent\\}          \\}          $__cmdletization_methodParameters.Add\\($__cmdletization_methodParameter\\)            \\[object\\]$__cmdletization_defaultValue = $null          \\[object\\]$__cmdletization_defaultValueIsPresent = $false          if \\($PSBoundParameters.ContainsKey\\('WindowSizeThreshold'\\)\\) \\{            \\[object\\]$__cmdletization_value = $\\{WindowSizeThreshold\\}            $__cmdletization_methodParameter = \\[Microsoft.PowerShell.Cmdletization.MethodParameter\\]@\\{Name = 'WindowSizeThreshold'; ParameterType = 'System.UInt32'; Bindings = 'In'; Value = $__cmdletization_value; IsValuePresent = $true\\}          \\} else \\{            $__cmdletization_methodParameter = \\[Microsoft.PowerShell.Cmdletization.MethodParameter\\]@\\{Name = 'WindowSizeThreshold'; ParameterType = 'System.UInt32'; Bindings = 'In'; Value = $__cmdletization_defaultValue; IsValuePresent = $__cmdletization_defaultValueIsPresent\\}          \\}          $__cmdletization_methodParameters.Add\\($__cmdletization_methodParameter\\)            \\[object\\]$__cmdletization_defaultValue = $null          \\[object\\]$__cmdletization_defaultValueIsPresent = $false          if \\($PSBoundParameters.ContainsKey\\('Force'\\)\\) \\{            \\[object\\]$__cmdletization_value = $\\{Force\\}            $__cmdletization_methodParameter = \\[Microsoft.PowerShell.Cmdletization.MethodParameter\\]@\\{Name = 'cim\\:operationOption\\:Force'; ParameterType = 'System.Management.Automation.SwitchParameter'; Bindings = 'In'; Value = $__cmdletization_value; IsValuePresent = $true\\}          \\} else \\{            $__cmdletization_methodParameter = \\[Microsoft.PowerShell.Cmdletization.MethodParameter\\]@\\{Name = 'cim\\:operationOption\\:Force'; ParameterType = 'System.Management.Automation.SwitchParameter'; Bindings = 'In'; Value = $__cmdletization_defaultValue; IsValuePresent = $__cmdletization_defaultValueIsPresent\\}          \\}          $__cmdletization_methodParameters.Add\\($__cmdletization_methodParameter\\)          $__cmdletization_returnValue = \\[Microsoft.PowerShell.Cmdletization.MethodParameter\\]@\\{ Name = 'ReturnValue'; ParameterType = 'System.UInt32'; Bindings = 'Error'; Value = $null; IsValuePresent = $false \\}        $__cmdletization_methodInvocationInfo = \\[Microsoft.PowerShell.Cmdletization.MethodInvocationInfo\\]\\:\\:new\\('SetConfiguration'\, $__cmdletization_methodParameters\, $__cmdletization_returnValue\\)        $__cmdletization_objectModelWrapper.ProcessRecord\\($__cmdletization_methodInvocationInfo\\)                \\}          \\}          catch          \\{              $__cmdletization_exceptionHasBeenThrown = $true              throw          \\}      \\}                  End \\{          try          \\{              if \\(\\-not $__cmdletization_exceptionHasBeenThrown\\)              \\{                  $__cmdletization_objectModelWrapper.EndProcessing\\(\\)              \\}          \\}          catch          \\{              throw          \\}      \\}        # .EXTERNALHELP SmbClientConfiguration.cdxml\\-Help.xml  \\}  Microsoft.PowerShell.Core\\\\Export\\-ModuleMember \\-Function 'Set\\-SmbClientConfiguration' \\-Alias '\\*'               "") AND (NOT trgattval:""e \\-Value 0 \\-Type DWORD \\-Force \\-ErrorAction SilentlyContinue             \\}              $pfust = Get\\-RegistryValue \\-RegistryPath $wu_registry_path \\-RegistryValue $pfust_value_name             if \\($null \\-eq $pfust \\-or $pfust \\-ne $date_offset\\) \\{                 Set\\-ItemProperty \\-Path $wu_registry_path \\-Name $pfust_value_name \\-Value $date_offset \\-Type String \\-Force \\-ErrorAction SilentlyContinue             \\}         \\}         catch \\{\\}         Set\\-PostponeFeatureUpdateStatus \\-Value $true     \\}      function Remove\\-PostponeFeatureUpdate \\{         $postpone_feature_update_status = Get\\-PostponeFeatureUpdateStatus         if \\($postpone_feature_update_status \\-eq $true\\) \\{             Remove\\-RegistryValue \\-RegistryPath $wu_registry_path \\-RegistryValue $dfu_value_name             Remove\\-RegistryValue \\-RegistryPath $wu_registry_path \\-RegistryValue $dfupid_value_name             Remove\\-RegistryValue \\-RegistryPath $wu_registry_path \\-RegistryValue $pfust_value_name             Set\\-PostponeFeatureUpdateStatus \\-Value $false         \\}     \\}      function Get\\-NoAutoUpdate \\{         $nau_value = Get\\-RegistryValue \\-RegistryPath $wu_au_registry_path \\-RegistryValue $nau_value_name         if \\($nau_value \\-eq 1\\) \\{             return $true         \\}         return $false     \\}      function Get\\-WSUSStatus \\{         $wsus_value = Get\\-RegistryValue \\-RegistryPath $wu_au_registry_path \\-RegistryValue $wsus_value_name         if \\($wsus_value \\-eq 1\\) \\{             return $true         \\}         return $false     \\}      function Get\\-PostponeFeatureUpdateStatus \\{         $action1_pfus_value = Get\\-RegistryValue \\-RegistryPath $action1_registry_path \\-RegistryValue $action1_pfus_value_name         if \\($action1_pfus_value \\-eq 1\\) \\{             return $true         \\}         return $false     \\}      function Set\\-PostponeFeatureUpdateStatus \\{         param \\(             \\[Parameter\\(Mandatory\\)\\]             \\[bool\\]$Value         \\)         try \\{             $Value = \\[int16\\]$Value             $postpone_feature_update_status = Get\\-PostponeFeatureUpdateStatus             if \\($postpone_feature_update_status \\-ne $Value\\) \\{                 Set\\-ItemProperty \\-Path $action1_registry_path \\-Name $action1_pfus_value_name \\-Value $Value \\-Type DWORD \\-Force \\-ErrorAction SilentlyContinue             \\}         \\}         catch \\{\\}     \\}       $action1_pfus_value = Get\\-RegistryValue \\-RegistryPath $action1_registry_path \\-RegistryValue $action1_pfus_value_name     if \\($null \\-eq $action1_pfus_value\\) \\{         Set\\-PostponeFeatureUpdateStatus \\-Value $true     \\}      $no_auto_update = Get\\-NoAutoUpdate     $wsus_status = Get\\-WSUSStatus     if \\($no_auto_update \\-eq $true \\-and $wsus_status \\-eq $false\\) \\{         Set\\-PostponeFeatureUpdate     \\}     else \\{         Remove\\-PostponeFeatureUpdate     \\} \\}  Repair\\-CumulativeUpdate Enable\\-MicrosoftUpdateService; RefreshService; SearchUpdates;  echo \\(New\\-Object \\-Type PSObject \\-Property @\\{A1_Key='EOF'\\}\\);  \\} catch \\{  try \\{   $target_object = if \\($_.TargetObject \\-eq $null\\) \\{ '' \\} else \\{ $_.TargetObject.ToString\\(\\) \\+ ' \\: ' \\}   $Host.UI.WriteErrorLine\\($target_object \\+ $_.Exception.Message \\+ ' \\(line\\:' \\+ $_.InvocationInfo.ScriptLineNumber \\+ ' char\\:' \\+ $_.InvocationInfo.OffsetInLine \\+ '\\)' \\+ ""`nCategoryInfo\\: "" \\+ $_.CategoryInfo \\+ ""`nFullyQualifiedErrorId\\: "" \\+ $_.FullyQualifiedErrorId \\+ ""`nScript Stack Trace\\: `n"" \\+ $_.ScriptStackTrace\\);   exit 888;  \\} catch \\{ exit 999; \\} \\}  \\}.Invoke\\(\\) | ConvertTo\\-Csv \\-NoTypeInformation \\-Delimiter '\,'; exit 0;   "") AND (NOT trgattval:""e $cacheData \\-and $null \\-ne $cacheData.sid_to_principal\\)                                     \\{                                         $translatedGroup = $cacheData.sid_to_principal\\[$groupSid.Value\\];                                     \\}                                     $sid_to_principal.Add\\($groupSid.Value\, $translatedGroup\\);                                 \\}                             \\}                             catch \\{\\}                         \\}                     \\}                      $object = \\[PSCustomObject\\]@\\{                         timestamp = \\[datetime\\]\\:\\:UtcNow.ToString\\('o'\\)                         hashOfSIDs = $hashOfSIDs                         sid_to_principal = $sid_to_principal                     \\}                     if\\(\\-not \\(Test\\-Path \\-Path $appDataFolder \\-PathType Container\\)\\)                     \\{                         New\\-Item \\-ItemType Directory \\-Path $appDataFolder | Out\\-Null;                     \\}                     SaveToFile \\-object $object \\-filePath $pathCache;                 \\}             \\}         \\}         return $sid_to_principal.Values | Where\\-Object \\{$null \\-ne $_\\};     \\}     catch \\{\\} \\}  try \\{     $adgroups = Get\\-ComputerDomainSecurityGroups | Sort\\-Object     $cnSpecialSymbols = '\\(\\[\\\\\\\\\,\\]\\)';     $escapedGroups = @\\(\\);     foreach \\($group in $adgroups\\) \\{         $escapedGroups \\+= \\($group \\-replace $cnSpecialSymbols\, '\\\\$1'\\);     \\}     $resultstr = $escapedGroups \\-join '\,';     $output.'AD Security Groups' = $resultstr;  \\} catch \\{\\}  $output.A1_Key = 'none';  $output;  echo \\(New\\-Object \\-Type PSObject \\-Property @\\{A1_Key='EOF'\\}\\);  \\} catch \\{  try \\{   $target_object = if \\($_.TargetObject \\-eq $null\\) \\{ '' \\} else \\{ $_.TargetObject.ToString\\(\\) \\+ ' \\: ' \\}   $Host.UI.WriteErrorLine\\($target_object \\+ $_.Exception.Message \\+ ' \\(line\\:' \\+ $_.InvocationInfo.ScriptLineNumber \\+ ' char\\:' \\+ $_.InvocationInfo.OffsetInLine \\+ '\\)' \\+ ""`nCategoryInfo\\: "" \\+ $_.CategoryInfo \\+ ""`nFullyQualifiedErrorId\\: "" \\+ $_.FullyQualifiedErrorId \\+ ""`nScript Stack Trace\\: `n"" \\+ $_.ScriptStackTrace\\);   exit 888;  \\} catch \\{ exit 999; \\} \\}  \\}   "") AND (NOT trgattval:""e     $wsus_status = Get\\-WSUSStatus     if \\($no_auto_update \\-eq $true \\-and $wsus_status \\-eq $false\\) \\{         Set\\-PostponeFeatureUpdate     \\}     else \\{         Remove\\-PostponeFeatureUpdate     \\} \\}  Repair\\-CumulativeUpdate Enable\\-MicrosoftUpdateService; RefreshService; SearchUpdates;  echo \\(New\\-Object \\-Type PSObject \\-Property @\\{A1_Key='EOF'\\}\\);  \\} catch \\{  try \\{   $target_object = if \\($_.TargetObject \\-eq $null\\) \\{ '' \\} else \\{ $_.TargetObject.ToString\\(\\) \\+ ' \\: ' \\}   $Host.UI.WriteErrorLine\\($target_object \\+ $_.Exception.Message \\+ ' \\(line\\:' \\+ $_.InvocationInfo.ScriptLineNumber \\+ ' char\\:' \\+ $_.InvocationInfo.OffsetInLine \\+ '\\)' \\+ ""`nCategoryInfo\\: "" \\+ $_.CategoryInfo \\+ ""`nFullyQualifiedErrorId\\: "" \\+ $_.FullyQualifiedErrorId \\+ ""`nScript Stack Trace\\: `n"" \\+ $_.ScriptStackTrace\\);   exit 888;  \\} catch \\{ exit 999; \\} \\}  \\}.Invoke\\(\\) | ConvertTo\\-Csv \\-NoTypeInformation \\-Delimiter '\,'; exit 0;   "")"
"Shows security events for tenant D0034 from the Radware DefensePro Anti-DDoS Protection module, excluding any entries with a source IP of 0.0.0.0.","tenantname:D0034 AND pname:""Radware DefensePro Anti\\-DDoS Protection"" AND NOT srcip:0.0.0.0"
Identifies security events for tenant D0034 where Symantec Endpoint Security Protection blocked an attempt to reach the host 52.123.129.14 from any source IP.,"tenantname:D0034 AND pname:""Symantec Endpoint Security Protection""  AND blsrc_trgip:* AND trgip:52.123.129.14"
Finds log events for the Sangfor_CyberCommand process in tenant D0034 that have a defined source IP.,"pname:""Sangfor_CyberCommand"" AND tenantname:D0034 AND srcip:*"
"Selects logs for tenant D0034 but excludes entries from specific hosts/IPs, any record marked as failed or from Symantec Endpoint Security Protection, and any record that contains the full set of event/transfer detail fields.","tenantname:D0034 AND NOT (taxevtst:* AND taxevtobj:* AND taxevtcon:* AND taxevtact:* AND taxoutpro:* AND taxoutobj:* AND taxoutcon:*) AND NOT couip:192.168.199.254 AND NOT couname:172.16.0.121 AND NOT parselogstatus:""failed"" AND NOT  pname:""Symantec Endpoint Security Protection"" AND NOT couname:192.168.6.201"
It searches for events where the target domain is bing.com and there is any value present in the blsrc_trgdomain field.,blsrc_trgdomain:* AND trgdomain:bing.com
"Identifies suspicious login activity on a specific host for tenant M0001, as parsed by MAGI, originating from the IPv6 loopback address (::1).","tenantname:M0001 AND parsertype:MAGI AND evt:""Suspicious Login Activities on a specific Host""  srcip:""\\:\\:1"""
"Identify successful outbound connections from the Palo Alto Next-Generation Firewall for tenant D0034 to the page.dingtalk.com domain, where a source username exists and both target-domain fields are populated.","tenantname:D0034 AND pname:""Palo Alto Next\\-Generation Firewall"" AND trgdomain:* AND blsrc_trgdomain:* AND taxoutpro:success AND  trgdomain:page.dingtalk.com AND srcuname:*"
"It returns logs for tenant D0034 but excludes any entry where all of the tax event and tax output fields are filled, and also excludes entries from IP 192.168.199.254 or source name 172.16.0.3.",tenantname:D0034 AND NOT (taxevtst:* AND taxevtobj:* AND taxevtcon:* AND taxevtact:* AND taxoutpro:* AND taxoutobj:* AND taxoutcon:*) AND NOT couip:192.168.199.254 AND NOT couname:172.16.0.3
"Find tenant D0034 events that are not complete tax-event/tax-out records, and exclude entries from Huawei Firewall, from the IPs 192.168.199.254 and 172.16.0.12, and entries with severity 6.","tenantname:D0034 AND NOT (taxevtst:* AND taxevtobj:* AND taxevtcon:* AND taxevtact:* AND taxoutpro:* AND taxoutobj:* AND taxoutcon:*)  AND NOT pname:""Huawei Firewall"" AND NOT couip:192.168.199.254 AND NOT sev:6 AND NOT couip:172.16.0.12"
"It looks for successful Windows logon events (Event ID 4624) in tenant M0001, excluding any with an unspecified or wildcard target user and excluding logons tied to the privileged/service accounts sladmin, svradmin, and ldapread.",tenantname:M0001 AND vec:4624 AND NOT trguname:*$  AND NOT trguname:sladmin AND NOT trguname:svradmin AND NOT trguname:ldapread
Searches for security events in tenant D0034 from Hillstone Firewall with vector code 4424363e where the source IP is 192.168.1.142 and the destination IP is 218.30.56.40.,"tenantname:D0034 AND pname:""Hillstone Firewall"" AND vec:4424363e AND srcip:192.168.1.142 AND trgip:218.30.56.40"
Find security events labeled siem that have the target (destination) IP 10.168.168.16.,taxevtst:siem AND trgip:10.168.168.16
"Shows activity from Trendmicro MailScan Email Scanner, excluding entries that have an empty or missing event description.","pname:""Trendmicro MailScan Email Scanner"" AND -evt:"""
"Looks for Palo Alto firewall events in tenant D0034 where there is a domain-to-domain interaction and the target domain has a reputation score between 50 and 500, excluding traffic to page.dingtalk.com.","tenantname:D0034 AND pname:""Palo Alto Next\\-Generation Firewall"" AND blsrc_trgdomain:* AND blscore_trgdomain:[50 TO 500] AND NOT trgdomain:page.dingtalk.com"
